,wap,close,count,high,low,open,volume
2016-04-11 19:04:25,205.32,205.32,13,205.32,205.32,205.32,23
2016-04-11 19:04:30,205.32,205.32,1,205.32,205.32,205.32,1
2016-04-11 19:04:35,205.317,205.32,9,205.32,205.31,205.31,42
2016-04-11 19:04:40,205.32,205.32,0,205.32,205.32,205.32,0
2016-04-11 19:04:45,205.329,205.33,7,205.33,205.32,205.33,22
2016-04-11 19:04:50,205.325,205.33,1,205.33,205.32,205.33,2
2016-04-11 19:04:55,205.33,205.33,2,205.33,205.33,205.33,2
2016-04-11 19:05:00,205.33,205.33,0,205.33,205.33,205.33,0
2016-04-11 19:05:05,205.33,205.33,3,205.33,205.33,205.33,31
2016-04-11 19:05:10,205.33,205.33,13,205.33,205.32,205.33,30
2016-04-11 19:05:15,205.33,205.33,1,205.33,205.33,205.33,3
2016-04-11 19:05:20,205.311,205.31,53,205.33,205.31,205.33,194
2016-04-11 19:05:25,205.301,205.3,16,205.31,205.3,205.3,27
2016-04-11 19:05:30,205.305,205.32,67,205.32,205.29,205.3,104
2016-04-11 19:05:35,205.327,205.33,3,205.33,205.32,205.33,23
2016-04-11 19:05:40,205.321,205.32,25,205.33,205.31,205.32,77
2016-04-11 19:05:45,205.319,205.32,42,205.33,205.31,205.31,121
2016-04-11 19:05:50,205.32,205.32,1,205.32,205.32,205.32,5
2016-04-11 19:05:55,205.327,205.33,12,205.33,205.32,205.32,41
2016-04-11 19:06:00,205.33,205.33,21,205.33,205.32,205.33,39
2016-04-11 19:06:05,205.323,205.32,10,205.33,205.32,205.33,28
2016-04-11 19:06:10,205.32,205.32,2,205.32,205.32,205.32,2
2016-04-11 19:06:15,205.33,205.33,1,205.33,205.32,205.33,4
2016-04-11 19:06:20,205.328,205.32,2,205.33,205.32,205.33,6
2016-04-11 19:06:25,205.32,205.32,0,205.32,205.32,205.32,0
2016-04-11 19:06:30,205.329,205.33,13,205.33,205.32,205.33,31
2016-04-11 19:06:35,205.323,205.33,3,205.33,205.32,205.32,3
2016-04-11 19:06:40,205.329,205.33,45,205.33,205.32,205.33,108
2016-04-11 19:06:45,205.321,205.32,3,205.33,205.32,205.33,9
2016-04-11 19:06:50,205.311,205.31,188,205.32,205.31,205.32,1050
2016-04-11 19:06:55,205.32,205.32,1,205.32,205.32,205.32,1
2016-04-11 19:07:00,205.343,205.37,93,205.38,205.31,205.32,171
2016-04-11 19:07:05,205.37,205.36,34,205.38,205.35,205.38,88
2016-04-11 19:07:10,205.358,205.36,4,205.36,205.35,205.35,4
2016-04-11 19:07:15,205.36,205.36,1,205.36,205.36,205.36,1
2016-04-11 19:07:20,205.37,205.37,14,205.37,205.36,205.36,32
2016-04-11 19:07:25,205.37,205.37,6,205.37,205.37,205.37,8
2016-04-11 19:07:30,205.379,205.38,8,205.38,205.37,205.38,8
2016-04-11 19:07:35,205.391,205.39,159,205.4,205.38,205.38,368
2016-04-11 19:07:40,205.392,205.39,112,205.4,205.39,205.39,163
2016-04-11 19:07:45,205.391,205.39,19,205.4,205.39,205.39,35
2016-04-11 19:07:50,205.39,205.39,18,205.39,205.39,205.39,69
2016-04-11 19:07:55,205.39,205.39,15,205.39,205.38,205.39,54
2016-04-11 19:08:00,205.39,205.39,42,205.39,205.38,205.39,94
2016-04-11 19:08:05,205.381,205.39,34,205.39,205.37,205.39,46
2016-04-11 19:08:10,205.372,205.37,55,205.39,205.37,205.38,97
2016-04-11 19:08:15,205.362,205.36,13,205.38,205.36,205.37,24
2016-04-11 19:08:20,205.357,205.36,8,205.36,205.35,205.35,28
2016-04-11 19:08:25,205.362,205.37,3,205.37,205.36,205.36,6
2016-04-11 19:08:30,205.37,205.37,4,205.37,205.37,205.37,5
2016-04-11 19:08:35,205.37,205.37,4,205.38,205.37,205.37,21
2016-04-11 19:08:40,205.37,205.36,16,205.38,205.36,205.37,33
2016-04-11 19:08:45,205.354,205.36,11,205.36,205.35,205.36,17
2016-04-11 19:08:50,205.366,205.38,7,205.38,205.36,205.36,9
2016-04-11 19:08:55,205.37,205.37,15,205.38,205.37,205.38,26
2016-04-11 19:09:00,205.389,205.39,40,205.4,205.38,205.38,64
2016-04-11 19:09:05,205.39,205.39,3,205.39,205.39,205.39,6
2016-04-11 19:09:10,205.39,205.39,40,205.39,205.39,205.39,68
2016-04-11 19:09:15,205.377,205.37,16,205.38,205.37,205.38,26
2016-04-11 19:09:20,205.38,205.38,39,205.39,205.37,205.38,60
2016-04-11 19:09:25,205.38,205.38,0,205.38,205.38,205.38,0
2016-04-11 19:09:30,205.379,205.37,5,205.38,205.37,205.38,7
2016-04-11 19:09:35,205.387,205.39,19,205.39,205.37,205.37,45
2016-04-11 19:09:40,205.39,205.39,47,205.39,205.38,205.39,102
2016-04-11 19:09:45,205.383,205.38,7,205.39,205.38,205.39,7
2016-04-11 19:09:50,205.38,205.38,2,205.38,205.38,205.38,2
2016-04-11 19:09:55,205.38,205.38,0,205.38,205.38,205.38,0
2016-04-11 19:10:00,205.38,205.38,0,205.38,205.38,205.38,0
2016-04-11 19:10:05,205.38,205.38,1,205.38,205.38,205.38,1
2016-04-11 19:10:10,205.373,205.38,3,205.38,205.37,205.38,7
2016-04-11 19:10:15,205.366,205.36,28,205.37,205.36,205.37,51
2016-04-11 19:10:20,205.361,205.36,15,205.37,205.35,205.36,55
2016-04-11 19:10:25,205.362,205.36,13,205.37,205.36,205.37,14
2016-04-11 19:10:30,205.374,205.39,55,205.4,205.36,205.37,249
2016-04-11 19:10:35,205.39,205.39,49,205.39,205.39,205.39,73
2016-04-11 19:10:40,205.388,205.39,12,205.39,205.38,205.39,16
2016-04-11 19:10:45,205.389,205.39,36,205.39,205.38,205.38,84
2016-04-11 19:10:50,205.39,205.39,9,205.39,205.39,205.39,19
2016-04-11 19:10:55,205.39,205.39,36,205.39,205.39,205.39,52
2016-04-11 19:11:00,205.39,205.39,6,205.39,205.39,205.39,6
2016-04-11 19:11:05,205.39,205.39,13,205.39,205.39,205.39,13
2016-04-11 19:11:10,205.41,205.45,300,205.45,205.39,205.39,1551
2016-04-11 19:11:15,205.436,205.44,84,205.46,205.42,205.44,197
2016-04-11 19:11:20,205.437,205.44,35,205.44,205.43,205.44,66
2016-04-11 19:11:25,205.445,205.44,28,205.45,205.44,205.44,36
2016-04-11 19:11:30,205.444,205.44,10,205.45,205.44,205.45,17
2016-04-11 19:11:35,205.479,205.5,429,205.5,205.44,205.44,975
2016-04-11 19:11:40,205.529,205.53,329,205.55,205.49,205.5,738
2016-04-11 19:11:45,205.521,205.54,79,205.54,205.51,205.53,168
2016-04-11 19:11:50,205.527,205.52,46,205.53,205.52,205.53,86
2016-04-11 19:11:55,205.521,205.52,24,205.53,205.51,205.53,61
2016-04-11 19:12:00,205.51,205.51,64,205.52,205.5,205.52,163
2016-04-11 19:12:05,205.51,205.51,19,205.52,205.5,205.51,46
2016-04-11 19:12:10,205.5,205.5,2,205.51,205.5,205.5,6
2016-04-11 19:12:15,205.506,205.51,5,205.51,205.5,205.51,5
2016-04-11 19:12:20,205.511,205.5,45,205.52,205.5,205.51,100
2016-04-11 19:12:25,205.511,205.51,50,205.52,205.5,205.5,128
2016-04-11 19:12:30,205.51,205.51,0,205.51,205.51,205.51,0
2016-04-11 19:12:35,205.51,205.51,4,205.51,205.51,205.51,5
2016-04-11 19:12:40,205.515,205.52,28,205.53,205.5,205.51,124
2016-04-11 19:12:45,205.52,205.51,27,205.53,205.51,205.52,51
2016-04-11 19:12:50,205.51,205.51,2,205.51,205.5,205.51,2
2016-04-11 19:12:55,205.51,205.51,19,205.52,205.51,205.51,48
2016-04-11 19:13:00,205.519,205.52,10,205.52,205.51,205.51,22
2016-04-11 19:13:05,205.504,205.5,1,205.51,205.5,205.5,13
2016-04-11 19:13:10,205.509,205.51,6,205.51,205.5,205.51,7
2016-04-11 19:13:15,205.501,205.5,26,205.51,205.5,205.5,36
2016-04-11 19:13:20,205.488,205.47,18,205.5,205.47,205.5,49
2016-04-11 19:13:25,205.482,205.49,9,205.49,205.48,205.48,12
2016-04-11 19:13:30,205.492,205.5,33,205.5,205.48,205.49,64
2016-04-11 19:13:35,205.481,205.48,12,205.49,205.48,205.49,24
2016-04-11 19:13:40,205.472,205.48,5,205.48,205.47,205.47,5
2016-04-11 19:13:45,205.471,205.47,3,205.48,205.47,205.48,7
2016-04-11 19:13:50,205.479,205.48,17,205.49,205.47,205.47,39
2016-04-11 19:13:55,205.49,205.49,20,205.5,205.49,205.49,34
2016-04-11 19:14:00,205.485,205.48,10,205.49,205.48,205.48,20
2016-04-11 19:14:05,205.49,205.49,18,205.49,205.48,205.49,28
2016-04-11 19:14:10,205.48,205.48,46,205.49,205.48,205.49,92
2016-04-11 19:14:15,205.497,205.5,36,205.5,205.48,205.48,98
2016-04-11 19:14:20,205.503,205.5,2,205.51,205.5,205.5,3
2016-04-11 19:14:25,205.5,205.5,0,205.51,205.5,205.5,0
2016-04-11 19:14:30,205.517,205.51,48,205.52,205.51,205.51,163
2016-04-11 19:14:35,205.511,205.52,15,205.52,205.51,205.51,29
2016-04-11 19:14:40,205.514,205.52,25,205.52,205.5,205.51,39
2016-04-11 19:14:45,205.521,205.52,4,205.53,205.5,205.51,7
2016-04-11 19:14:50,205.52,205.52,1,205.52,205.52,205.52,1
2016-04-11 19:14:55,205.515,205.51,43,205.52,205.5,205.52,72
2016-04-11 19:15:00,205.512,205.52,8,205.52,205.51,205.51,12
2016-04-11 19:15:05,205.501,205.49,28,205.51,205.49,205.51,53
2016-04-11 19:15:10,205.481,205.48,18,205.49,205.48,205.49,25
2016-04-11 19:15:15,205.469,205.48,28,205.48,205.46,205.47,98
